Rating,Review
2,"The item  was a gift and hasn't been used yet.  The recipient noticed that the best by date on the bottom says August 2011, I purchased it in November 2011.  It was pretty embarrassing to say the least.  I don't plan on returning it because it would have to be shipped from Virginia to Connecticut and back to the sellar.  Because of that I will never purchase anything from this seller again."
4,"new years stay millenium loved millenium hilton, right street ground zero humbling americans need humbled right, anyways hotel rooms nice comfortable, service lacking, sure just new yorker way life hurrying making rush check check phone, n't say rude hurry new york, got tired waiting ball drop new years just went hotel watched tv fireworks outside window, great, elevators really fast, just warning,  "
4,"This is the best black tea I have ever found. My husband is Chinese and we are both very picky when it comes to teas. This is pure, clean, very nice taste. No bitterness, gently sweet on its own, and we use the leaves at least twice in our tea maker. We love it and will not buy any other brand. We're very pleased to find it on Amazon because we used to have to talk relatives into going to our ""old"" store in Michigan and then ship it to us.<br /><br />I wish the shipping were less, but I wouldn't pass it up just because of that because there is no other tea that matches it in price, clarity and flavor. We buy the one lb. can because it has the same shipping as the 1/2 lb. can, saving us a little bit overall.<br /><br />If the shipping were not just about half the price of a can of it, this would receive a five star rating and more if I could give it."
4,"I love JIF Peanut Butter, especially since it's one of my favorite peanut butters that I grew up with during my childhood years since I used to use it a lot for peanut butter and jelly sandwiches.<br /><br />As a matter of fact, JIF is my 2nd favorite peanut butter in the whole wide world, but PETER PAN is my favorite in the whole wide world, but when I can't find PETER PAN in a 28 OZ or 40 OZ size jar, I end up buying JIF in that size as a 2nd alternative, especially since I can never find PETER PAN in a 28 Ounce or 40 Ounce size at the stores anymore and only carry PETER PAN in the 16 OZ size for some reason which is perhaps due to PETER PAN being outsold by JIF and SKIPPY since I can always find SKIPPY and JIF in a 28 OZ or 40 OZ size at most grocery stores.<br /><br />Additionally, I find it hard to understand why Amazon sells JIF and SKIPPY in a 40 OZ sized jar individually and wont sell PETER PAN in a 40 OZ size individually, plus it baffles me why Amazon charges you $12 bucks to buy this size product online to buy one 40 Ounce jar of JIF when you can buy it at the grocery store or a retail store in this exact same size for under $8 or $9 bucks too."
2,This batch was so oily and had leaked out of the packaging all over.  Joyva failed to put a 'use by date'.  Does that mean it is acceptable as edible for eternity?  It actually tastes a bit rancid.  All of it is going in the trash as Amazon no longer accepts returns on food items.  I will have to be on the lookout in specialty stores.  Oh well.
2,"The box was smashed up, didn't look new as advertised.It didn't taste like the one my mother used to buy for me and my sister when we were kids."
1,"I love Mrs Fields cookies at the mall, but, these I bought a few weeks ago and won't even eat.  And, I eat every cookie in sight.  Maybe, I just got a rotten bunch, but, will never buy again.  Very disappointing because Mrs. Fields are always great at the mall."
1,"In short this does not taste like tea.  I does not smell like tea.  I took my first jar back to the store because of the smell.  I thought it had gone bad.  Very fishy smelling.  I tried very hard to get used to the taste but I still have not made it through the first 1/4 of the glass.  Iced tea in any variety should not taste like fish.  I tried it with and without sweetener.  Another reviewer pointed out that it contained maltodextrin. Why is that in there? Nestea is just tea, no extra ingredients.  Lipton, if you ever read this, can you answer why?  That must be the odd taste.  Maltodextrin is also a highly processed food.  Just go all natural and the taste should be better.  So overall no good."
1,I have eaten these crackers before and know they are wonderful - which is why I was willing to pay so much for them!  Unfortunately they were stale and crumbled when I received them.  I will never order any food items again from Amazon!  Very disappointing since I needed them for a party!!
4,these make a great snack at night when i am watching tv i get tried of air popcorn so i figure why not try these pork rinds there pretty good too
4,"We have loved Kraft Tangy spaghetti for years, but there is one thing they need to improve are the noodles!"
3,"average place average stay stayed hotel night close galleria mall met friends day, soon opened door executive member floor smelled mildew, carpet damp obvious water damage room, asked change rooms night decided stay, paid room used holiday inn points complained, located highway did n't notice noise, basic no-frills holiday inn,  "
3,Be forewarned.  This is not the pure spice but a watered down mix for the export market.  I suppose I can live with that but I would have liked to have known it when I purchased it.  I had never heard of this Indian spice before until a recent recipe book by Madhur Jaffrey kept demanding its use.  I guess it adds a certain subtle flavoring to the dishes but my palate really isn't that discerning.  I think you have to use more than the recipes demand since this is adulterated with a filler.
1,"WE'VE PURCHASED THESE OYSTER CRACKERS IN THE PAST AND LOVED THEM,<br />THIS TIME THEY ARRIVED STALE - ALMOST RANCID. WHAT A DISAPPOINTMENT.<br />THEY CANNOT BE RETURNED SINCE THEY ARE GROCERY ITEMS."
1,I never got the product and complained about the non receipt.  so i bought some in the store. klefje lskejfewl lsfjewldf
2,I bought this tea at Stop and Shop and it clearly has warnings on it but I didn't expect it to cause like a panic attack or something uncomfortable like my heart to beat loudly as it was audible. I don't fancy the flavor of this tea.  Yogi makes a sampler with this one in it.
3,"This is my first Cameron's coffee. Product quality seems fine, but taste is nothing special. No better than Dunkin' Donuts.<br />Context: I use Capresso conical burr grinder, Cuisinart drip coffee maker, & triple filtered water."
4,"Ginger snaps:  The name says it all, you want ginger and you want snap.  These have the ginger for sure, with a lingering burn in the throat.  And they sure have snap, they're very crunchy.<br /><br />I'm taking a point off because I think they go overboard on both accounts.  The lingering burn seems a bit excessive, although some might really enjoy it.  But the crunch really seems like a flaw, these cookies are bordering on hard.<br /><br />I still ate the whole bag though.  :)"
1,"not ounce fresh air, flight attendant fly ams work no choice stay hotel, company contracted crowne plaza, metal tube no fresh air hours like imagine arriving hotel able sit unwind breathe fresh dutch air, not, advised windows room sealed shut, just returned ams snowing blowing freezing cold, room hot stuffy no occassion turn heat.the desk indifferent, bellmen wonderful not carry negative issues hotel.the location perfect good thing, try stay outside long, return hotel shower sleep,  "
4,"Best box brownie mix you can use, I have used these for 12+ years and use as Teacher Gifts, neighbor gifts, stocking stuffers and stock my own cabinet. Don't forget the ice cream and hot fudge!"
4,Prompt arrival.Good packaging.Same item I wanted.Lot cheaper than buying from grocery store.<br /><br />The bad :-<br />How do i increase the shipping frequency from once in 6 months to once in every 3 months.Basically No customer service ?
3,I was surprised to discover that this product was sweetened with artificial sweetener. I prefer natural sugar and didn't like it. Everyone else in the office does.
2,We gave this flavor a try but it didn't appeal to our tastes at all. I'm a huge fan or LorAnn's oils but this one just didn't hit the mark for me.
