Rating,Review
3,"Sweet potato was the favorite of our now 10-month old twins. And it is absolutely loaded with vitamin A.<br /><br />I've asked many parents of babies around the same age as ours which foods their babies like. Each time they've said their babies like sweet potatoes, so I think this is a very good flavor choice.<br /><br />I've ordered and received many 12-jar packages of various varieties of Earth Best baby food. I stopped all my Earth Best subscriptions though. That's because I had three deliveries with broken jars within a short time. Amazon responded well. I wrote Earth's Best but they never responded."
5,"Bought this 1 lb Merckens Coco Lite Coatings to make chocolate covered strawberries for Valentine's Day. It tasted great, melted very well, dried quickly on the strawberries and it was great!"
3,"I like Almond Nut Thins very much, especially the Cheddar Cheese flavor. These ranch-flavored crackers taste good upon first bite, but the problem is that the tangy taste doesn't go away, so if you munch on a few of these in the evening, you will still taste them the next morning - and that's after brushing your teeth and tongue!  Blue Diamond, if you are reading this, please modify the ingredients so that these crackers don't contribute to embarrassing bad breath.  I found myself having to stand back from people and I felt uncomfortable. My husband also experienced the same lingering taste in his mouth. Other than that, they are perfectly crunchy and enjoyable to eat.  I purchased them through Subscribe & Save.  I am going to try out another flavor.  None of the other flavors have had the same longterm effect on me.<br />I have a cupboard full of these crackers.  I'll just have to give some away.  The other complaint/observation is that these rice crackers have no fiber content whatsoever.  For that reason, I may look for another alternative.<br />Update:  Turns out that these crackers don't go over well with my teenage daughter and her friends - too much ""after breath""!  Blue Diamond, if you are listening, you may want to re-vamp your recipe."
4,"I enjoyed this soup. Yes we would all like fresh Pho soup. If you are in the area that we live you will not find a Vietnamese restaurant for 100 miles. I made the soup and added fresh bean sprouts, fresh cilantro, fresh green onions and strips of cooked steak. This is a basic soup for you to add things to it....not to expect when you open it strips of steak are going to appear from the box. I recommend this soup as a starter to a great soup by adding fresh ingredients. Fresh things never let you down."
4,"I make these once a week as a special treat.  There's toasted coconut and coconut powder in these.  It crossed my mind to just buy aunt jemima (sp?) and add shredded coconut to them tho.  Not sure if they would be as good, but probably worth a try, since these canisters are pricey (tho not as pricey when bought in bulk)."
3,"I didn't realize when I picked this up that this really wasn't for my hair style at all.  I have naturally thik/wavey hair and while I do use a lot of ""African American"" products on my hair, like relaxers and things of that nature which help quite a bit because I get a natural ""fro"" going on, this really just wasn't for me as it is just too thick and greasy for my hair texturing.  It's hard to review it past that and saying it's okay and giving it 3 stars for that as I just passed it on to a friend who can and will use it for her hair, she so far has been able to and likes it; but for me this is a no go.  I really didn't read the information enough before picking this up as a free Vine product to review it an this just really doesn't work for me."
2,"The first ingredient on my NB bag is Peas, followed by Duck, Pea Protein, and Canola Oil (Best By 20-May-2012). No wonder my cat's coat is so dull lately; she is taking too much protein from non-meat origin! I do not consider this ""premium quality cat food"" any more and I am changing her dry food to other LID brand.<br /><br />I now feel uneasy to buy a product that has several different versions of ingredients list. What is written on their website is different from what I see on the bag; the company's website lists ""Pea, Duck, Duck Meal, and Pea Protein"" as the first 4 ingredients. There is even a list on major pet supply store's websites with ""Duck Meal"" as a second ingredient and ""Duck"" itself is not on the list. What should I believe?"
4,Way too spicy! I love Amy's products but feel like there should be a warning about the heat index here!
2,"Had ordered 1 LB Extract Grade Madagascar Vanilla Beans ... they had a very smoky off flavoring , I use to make my own vanilla extract and vanilla rum.. thankfully did not use in my 2 yr old master batch of vanilla extract.. I initially used to put up a bottle of vanilla rum.. while very good sippping cold is not good for baking. Not sure if were smoke dried or how it picked up the smoke off note but was way too overwhelming for baking purposes.. in all fairness have not contacted the supplier, will email today, will follow-up on that. But at this time cannot recommend... best I can use them for is drinking spirits, savory dishes (yes do put vanilla bean in various rubs) and simmering liquid to freshen house. Was too expensive for that use."
3,"I was disappointed with this product. When chewed, the gum gets rubbery very fast.  I wouldn't recommend this to anyone else."
5,"I began ordering these using the ""Subscribe and Save"" program while we were posted overseas, and now that we are back in the States, I will probably continue to buy from Amazon.  The price is way better than any grocery store around, and the only place that can compete is Wal-Mart, which is a bit of hike (not literally!) for me.  My son loves this cereal and it mysteriously disappears much more rapidly on the weekends, when my husband eats his breakfast at home.  Although there are healthier cereals out there, I am happy that this one is made with whole grains and has a relatively low sugar content, especially compared to the sugary cereals available overseas (believe it or not, more so than in the US).  Thanks Amazon for carrying this product!"
2,"This is a nice convenient package, and the hummus and crackers are a good combo. However, while the contents of the packages are gluten free, both the chocolate and the nut mix are produced on equipment that also processes wheat. So, if you have celiac disease or are very sensitive to gluten, these two items are not completely gluten free."
3,"This makes a great waffle, but contrary to the above description you will need to add oil and eggs to the mix, rather than just water. This probably is not an issue for most people, but for someone temporarily without a kitchen or fridge (like us), it was a little disappointing."
4,I was looking for a cereal that had no white flour or white sugar.  This cereal tastes great and fills me up.
