Rating,Review
2.0,relieved plantar fascitis day unbearable pain returned full force recommended podiatrist
4.0,beautiful husband went secret honeymoon july place absolutely beautiful fact surprised people actually complained place weather perfect rain day staff tried hard make people happy day bringing game entertainment beach pool pretty ocean little rough husband enjoyed playing huge wave careful lady broke arm playing ocean rough wave thing bad happened trip husband got sick nt sure eat extreme pain stomach seriously thought going hospital went day doctor staff nice helpful gave husband shot med nt hour bug lasted entire day unable leave room eat toast kinda disappointing honeymoon sick food excellent vacation picky eating fine loaded breakfast favorite rest mexican rest unable try french rest bc long wait hoping try secret mexico year
4.0,good value good location good hotel wife stayed anniversary trip barcelona fabulous time booked reservation hotel website entrance lobby nice modern staff spoke english fairly given incorrect information bus route outside hotel aside helpful friendly requested large bed instead double bed got requested bed nt particularly comfortable nt bad room nice clean minibar safe plenty closet space room mean soundproof slept night bathroom nice clean plenty water pressure shower trouble setting thermostat metro station poble sec literally right street filling station snack plenty tapa bar area placa espanya minute walk away poble espanyol probably minute walk away allowed leave bag secure area day checked cost tip glad checked review hotel real
4.0,nice hotel stayed time past recently frankfurt auto really enjoy hotel location k frankfurt quiet section town taxi stand bus stop right hotel downtown minute staff friendly accomodating drive parking free room average size comfortable good night sleep resturant site good breakfast dinner quite good ate hotel resturant couple night food good want frankfurt great time city relax hotel
2.0,good room poor service service hotel poor price paid staff desk tended supercilious arrogant staff member fun whining american guest package included fruit basket delivered nightly room asked recieving turned away staff member told entitled staff make assertion certain thing checking thing word appearance highly valued actually helpful staff booked french speaking tour speak english breakfast extremely limited basic provided staff serving tea refuse speak english quite testy morning hear scream raucous laughter coming kitchen adjacent breakfast dining area waiter tell chef quieten highly unprofessional high class hotelon positive note executive room hyatt exceptionally clean modern spacious tastefully decorated view eiffel tower room box welcome candy xmas tree room
2.0,horrible end lovely time family lived netherlands end stay stayed krasnapolsky total week day ruined nice end holland saga throwing asked reservation extended problem getting flight staff spoke request hotel proceeded force family relegating poky star hotel shabbily treated remember hotel bad taste mouth staff lied threatened took advantage ignorance hotelling law fact regular paying guest counted nothing write formal letter management expect point u stay u maltreated point
1.0,disappointing husband stayed doubltree april meeting used hilton hhonors point k extremenly upset poor condition hotel try time room nt smell cologne room settled old badly need renovation make matter worse awoken morning maid outside room talking loudly running vacuum cleaner banging wall outside room stayed hiltons doubletree experienced lousy visit went far complain writing received courtesy response nt waste time money
1.0,definite worst hotel hav stayed old tattydespite picture look like lift really small really old room fine extra bed wardrobe safe box hairdrier ensuite tiny shower really old manager totally rude definitely tell people stay written bad review nt picky really bad hotel
1.0,beautiful business excited visit based review photo expedia hotel beautiful major flaw asked wakeup early train milan subsequent flight milan london came alarm clock room trust desk staff nt travel alarm clock ended paying change flight ended staying overnight paris connect london morning desk unapolegetic mishap charged coffee gave waited desk scramble new flight manager duty additionally noticed paris prescription pill missing carryon bag florence year experience month road year happen noticed went room mishap cleaning people room guessed looting belonging love stay hotel based experience
4.0,wacky bathroom certainly worth getting star room quite small amsterdam room equipped maintained breakfast good staff cheerful great central location good link public transporttry humphreys restaurant opposite road good quality budget meal friendly staffthe lift incredibly smelly apparently problem adjoining building occupier holiday
4.0,good city hotel booked belgian travel agent modern styled hotel night got night free asked mail spanish quiet room floor gave nice th floor terracethe staff reception desk correct personnal warmthe room bathroom clean ok breakfast buffet fantastic dinner set menu euro cava starter included good dealthe location hotel bad walk porto olimpico fish restaurant metro station bogatel marina nearby walk plaza catalunya ramblas sagrada familia churchthis good city hotel correct pricequality relation
3.0,ok im year old girl virginia beach virginia united statesbreezes ok resort pretty pretty cleanexcept room kinda musty bed werent confortablethe food horrible went mom aunt got sickthe restaurant liked munason martinosthe stupid dominican guy hitting entire timei thought gon na natilie hollaway gon na raped killednobody spoke english uhh little weird considering world asked wat wantedthe beach pool gorgeous spent time therealso internet cafe convenient especially social butterfly staff sweet helpfulthe night life ehh greatthere teen club casino sucked said aunt momthey said big roomumm atlantis casino hugee thatss paradisei know im american expectation high especially family who traveled quite bit expects bestbut tip staff learn speak english american food dont poison better casinonightlifethankss
3.0,reasonable wow booked wife th birthday jan booked quite late new year nt great choice hotel ok staff friendly helped flower surprise wife location great wo nt bad stay nt expect romantic experience bit like holiday inn good value great location ok hotel
1.0,worst location say place eat sub place make order bullet proof glass
1.0,sick dreadful beautiful island family yr yr old came july read resort booking traveling read raving review shocked good bad outweighed good eager casethe point like make dont anytime soon family got sick nd night stayed sick trip met people experienced thing waiting test doctor sick scared ecoli parasite ruined trip medical service good doctor property educated opinion trying cover quite bit traveling experienced iam sick scarey experience complaint food awful child friendly food buffet smelt day got old lot fly foodbath towel extremely hard cleaning sanitarythe guest service desk way eager claim entertainment disappointed stick iberostar hotelssherri
2.0,disappointed stick kimpton greatly disappointed small hotel compared small boutique hotel city specifically kimpton brand hotel hotel fell far short level service mediocre desk biggest problem highly unprofessional nobody offered luggage assistance concierge seen asked direction wrong twice time desk clerk nt know street end block hotel pretend looking map second time checked map confirm written direction fool wrong gladly traded cooky second bar soap took long second bar soap room shared sink shower thrilled sinkvanity bed area bathroom trapping little substance
3.0,fully satisfied husband stayed goodwood park week night room got bit far reception nothing special facilites provided room low alonost toileteries check date leave early morning breakfast hotel offered pack small box box small bottle juice small tuna sandwich breakfast croissant day good thing hotel location right heart shopping centre quite nice
4.0,second stay great stayed year came barcelona group girlfriend thought hotel great barcelona time stayed apartment time thought oriente try nt dissapoint hotel recently refurbished alot modern retained charm reception staff cheery polite helpful giggle checked booked room travelling couple wanted room overlooking ramblas couple wanted quiet room immediately accommodated problem ramblas room refurbished room room older style room nice bigger ramblas room happy room albeit ramblas room small comfortable clean bathroom bit sparce clinical hey wash shower safe hairdryer tv controllable heating room ramblas room noisy add atmosphere great location great city room quiet light sleeper book breakfast fine available gourmet perfectly acceptable great hotel fabulous location good value money personally glad stayed family really liked planning trip year certainly look stay oriente good place eat fun bar bilbao berria great tapa restaurant square cathedral yum la gavina restaurant wonderful food infact fabulous cheap worth penny palau del mar port vellcal pinxo la gavina good irati tapa restaurant la ramblas street cant remember tasty bosc le fade really fun fairytale bar worth visit experience turn right wax musuemolympic port good night lively mood load bar club restaurant restaurant good beware good rey la gamba
1.0,stay thief stayed boyfriend night spending day orlando th birthday luckily fantastic time orlando riu hotel dirty stain seat bed room window rusty hard open room lick paint plaster work bascially need knocked rebuilt harsh lobby nice dont spend time lobby bar staff overcharged meal charged hardly speaks english properly including tv channel really icing cake day texted aunty grandmother hospital left phone bedside table went pool hour day got gone looked packed stripped room phone went reception reported stolen staff unhelpful suggested packed called number went answermachine knew left message grandmother called housekeeping maid said opened door room occupied left mobile saw round table round table room phone boyfriend phone come right room say mobile room scan room mobile enters staff suggested home unpack case nt missed flight home unpacked called say definitely didnt know taken met wasnt problem stay hotel want good holiday advice stay watch thing mysteriously disappear warned
